.	16	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	16	711866	712014	714683	728534	843775	854123	1117365	1166240	1241250	1282073	1322516	1357329	1467409	1573829	1627678	1675506	1692960	1845476	1907534	2085452	2171924	2416863	2548213	2964345	3042805	3388358	3808366	4344282	5095141	5961763	7237832	7922243	9775168	12470398	18669677	20705743	27348620	36344556	
.	17	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	17	736243	736415	739608	755728	877048	892693	1163141	1212533	1291579	1335281	1377908	1419275	1531931	1642602	1701974	1753812	1776273	1930042	1993969	2179564	2280475	2530730	2670915	3085009	3167058	3526687	3976542	4521267	5284664	6187314	7472829	8187810	10057827	12801763	18952985	20962948	27587228	36344556	
.	18	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	18	766857	767013	770889	787628	901813	921890	1182874	1230010	1307400	1354122	1398122	1444135	1541474	1572135	1710391	1763187	1791372	1943831	2008322	2195493	2301774	2543807	2688499	3088754	3177299	3534345	4009652	4543181	5309503	5947444	7510390	8248204	9945366	12824689	18613168	20986401	27693996	36344556	
.	19	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	19	807159	807323	812037	828470	938180	965115	1212839	1257545	1334582	1384371	1430265	1479808	1573074	1605796	1725957	1780795	1814994	1961450	2025232	2215090	2333616	2566600	2715729	3096949	3190929	3550359	4044347	4567081	5325513	5972406	7529860	8291316	9984386	12920192	18672133	21073014	27808127	36344556	
.	20	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	20	844017	844231	849863	868973	987973	1024331	1275096	1320129	1397123	1451005	1500157	1558300	1657167	1693912	1807779	1870272	1911337	2057668	2124053	2321044	2458561	2695155	2851936	3233712	3334561	3710704	4234226	4763939	5525223	6203907	7767915	8575953	10287165	13245590	18961724	21344753	28030623	36344556	
